epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3404,1.25341,4.67118,0.00895,0.01087,0.23111,0.01764,0.01135,1.05802,4.46397,0.00952,0.000198601,0.000198601,0.0803385
2,47.7628,1.19141,4.43497,0.00836,0.01843,0.23584,0.03204,0.02202,1.03077,4.24689,0.00913,0.000394655,0.000394655,0.0605345
3,66.9754,1.19198,4.22523,0.00816,0.01939,0.31681,0.05854,0.04239,1.03179,3.93595,0.00913,0.000586749,0.000586749,0.0407266
4,85.9844,1.1753,3.94178,0.00819,0.63832,0.07818,0.1007,0.0708,1.04635,3.54811,0.00925,0.000774883,0.000774883,0.0209147
5,104.88,1.20839,3.48981,0.00843,0.58635,0.16956,0.15065,0.10323,1.08521,3.07205,0.00961,0.000959057,0.000959057,0.00109892
6,123.801,1.22161,3.11082,0.00858,0.64061,0.22307,0.19487,0.13229,1.08718,2.84411,0.00975,0.0009505,0.0009505,0.0009505
7,142.63,1.22202,2.94266,0.00859,0.6436,0.23905,0.22471,0.15605,1.08877,2.70916,0.00982,0.0009406,0.0009406,0.0009406
8,161.462,1.21577,2.82734,0.00862,0.66717,0.24975,0.27136,0.19218,1.06499,2.59599,0.00956,0.0009307,0.0009307,0.0009307
9,180.237,1.20791,2.72764,0.00861,0.57478,0.30474,0.30026,0.21389,1.07802,2.51682,0.00979,0.0009208,0.0009208,0.0009208
10,199.036,1.20971,2.64783,0.00859,0.57047,0.31177,0.31652,0.22645,1.08051,2.4513,0.0099,0.0009109,0.0009109,0.0009109
11,218.015,1.21354,2.56548,0.00851,0.59271,0.32017,0.33929,0.24536,1.07859,2.37475,0.00986,0.000901,0.000901,0.000901
12,236.909,1.20139,2.50946,0.00858,0.52815,0.36461,0.36873,0.26517,1.07479,2.31563,0.00978,0.0008911,0.0008911,0.0008911
13,255.793,1.19893,2.42805,0.00844,0.54278,0.36903,0.39744,0.28622,1.09688,2.24678,0.01004,0.0008812,0.0008812,0.0008812
14,274.67,1.21512,2.37468,0.0085,0.55677,0.37349,0.40847,0.29623,1.08239,2.19524,0.00987,0.0008713,0.0008713,0.0008713
15,293.472,1.19175,2.31061,0.00846,0.54209,0.41353,0.44534,0.31711,1.08214,2.15576,0.00984,0.0008614,0.0008614,0.0008614
16,312.415,1.20802,2.27689,0.00841,0.49289,0.43722,0.45199,0.32748,1.09502,2.12997,0.01001,0.0008515,0.0008515,0.0008515
17,331.327,1.20758,2.22855,0.00837,0.51094,0.4452,0.46093,0.33275,1.09706,2.09235,0.01009,0.0008416,0.0008416,0.0008416
18,350.235,1.20822,2.20172,0.00837,0.53778,0.4876,0.49993,0.36228,1.08406,2.04783,0.01,0.0008317,0.0008317,0.0008317
19,369.116,1.20206,2.16878,0.00849,0.50748,0.50866,0.49911,0.35721,1.09475,2.03728,0.01003,0.0008218,0.0008218,0.0008218
20,388.077,1.20224,2.13835,0.00841,0.58679,0.47484,0.50652,0.36777,1.08689,1.99411,0.00999,0.0008119,0.0008119,0.0008119
21,407.11,1.20387,2.12608,0.00834,0.54374,0.48955,0.51855,0.37068,1.09008,1.97831,0.00998,0.000802,0.000802,0.000802
22,426.012,1.20041,2.09136,0.00836,0.58132,0.49952,0.53172,0.38655,1.0918,1.93343,0.01002,0.0007921,0.0007921,0.0007921
23,444.964,1.19962,2.05203,0.0084,0.57187,0.47985,0.51729,0.37287,1.09115,1.92147,0.01,0.0007822,0.0007822,0.0007822
24,463.837,1.19853,2.01405,0.00845,0.55419,0.49132,0.52764,0.37865,1.09506,1.91253,0.01005,0.0007723,0.0007723,0.0007723
25,482.698,1.19917,1.99806,0.00843,0.54489,0.52035,0.53204,0.38083,1.09122,1.8771,0.01009,0.0007624,0.0007624,0.0007624
26,501.664,1.19238,1.99111,0.00848,0.5402,0.53403,0.54142,0.38505,1.09246,1.86737,0.01008,0.0007525,0.0007525,0.0007525
27,520.66,1.18965,1.94062,0.00824,0.55465,0.54016,0.53794,0.38721,1.09228,1.85279,0.01009,0.0007426,0.0007426,0.0007426
28,539.512,1.18814,1.92974,0.00832,0.56689,0.53182,0.56117,0.40347,1.08996,1.82947,0.01003,0.0007327,0.0007327,0.0007327
29,558.356,1.17753,1.90806,0.00822,0.62677,0.51771,0.56566,0.41066,1.09654,1.80799,0.01005,0.0007228,0.0007228,0.0007228
30,577.419,1.19577,1.87826,0.00828,0.59755,0.52068,0.56622,0.40664,1.0952,1.78744,0.01005,0.0007129,0.0007129,0.0007129
31,596.259,1.17405,1.85808,0.00825,0.60536,0.52562,0.56653,0.41054,1.08608,1.77838,0.00994,0.000703,0.000703,0.000703
32,615.135,1.19537,1.85574,0.00821,0.60996,0.54334,0.57144,0.40871,1.09608,1.75468,0.00999,0.0006931,0.0006931,0.0006931
33,633.893,1.17677,1.82428,0.00827,0.62554,0.53383,0.57461,0.41243,1.08934,1.74381,0.01,0.0006832,0.0006832,0.0006832
34,652.683,1.1704,1.81798,0.0083,0.6493,0.51395,0.58266,0.41974,1.08971,1.72679,0.01002,0.0006733,0.0006733,0.0006733
35,671.627,1.17351,1.78496,0.00822,0.62945,0.54372,0.57609,0.4173,1.09527,1.7198,0.01013,0.0006634,0.0006634,0.0006634
36,690.595,1.18827,1.77474,0.0082,0.63947,0.55001,0.5874,0.42065,1.0971,1.70382,0.01004,0.0006535,0.0006535,0.0006535
37,709.572,1.19281,1.77273,0.00821,0.65533,0.55196,0.59137,0.42539,1.10472,1.68625,0.01021,0.0006436,0.0006436,0.0006436
38,728.393,1.16221,1.74559,0.00845,0.62343,0.55006,0.59654,0.4268,1.10068,1.67382,0.01015,0.0006337,0.0006337,0.0006337
39,747.36,1.17704,1.74034,0.00826,0.65416,0.53938,0.59379,0.42098,1.09562,1.6684,0.01006,0.0006238,0.0006238,0.0006238
40,766.261,1.1799,1.70482,0.00827,0.63881,0.53966,0.58929,0.42214,1.09919,1.66591,0.01006,0.0006139,0.0006139,0.0006139
41,785.156,1.18338,1.7059,0.00819,0.61452,0.55419,0.59165,0.42139,1.10213,1.64586,0.01011,0.000604,0.000604,0.000604
42,803.995,1.17496,1.70251,0.00826,0.62298,0.56253,0.59568,0.42755,1.10468,1.63385,0.01017,0.0005941,0.0005941,0.0005941
43,822.896,1.18189,1.68093,0.0082,0.61506,0.56544,0.59683,0.42944,1.10474,1.62466,0.01012,0.0005842,0.0005842,0.0005842
44,841.826,1.17476,1.65764,0.00828,0.61709,0.57362,0.6023,0.43241,1.09665,1.60234,0.01001,0.0005743,0.0005743,0.0005743
45,860.702,1.16654,1.63617,0.00809,0.60298,0.58733,0.60141,0.42828,1.09803,1.59938,0.01004,0.0005644,0.0005644,0.0005644
46,879.617,1.18374,1.64094,0.00817,0.61724,0.57697,0.59961,0.42742,1.09932,1.58556,0.01009,0.0005545,0.0005545,0.0005545
47,898.509,1.17133,1.63115,0.00816,0.60722,0.58222,0.60137,0.4315,1.09731,1.59737,0.01008,0.0005446,0.0005446,0.0005446
48,917.368,1.16973,1.59731,0.00819,0.64002,0.57561,0.60552,0.42994,1.10395,1.56679,0.01012,0.0005347,0.0005347,0.0005347
49,936.211,1.16541,1.60586,0.0083,0.61733,0.57403,0.60301,0.42361,1.10485,1.57103,0.01014,0.0005248,0.0005248,0.0005248
50,955.01,1.16322,1.58073,0.00804,0.61111,0.5789,0.60708,0.43116,1.09369,1.55498,0.01005,0.0005149,0.0005149,0.0005149
51,973.989,1.16498,1.58658,0.00806,0.63565,0.55097,0.60874,0.42976,1.09798,1.5541,0.01013,0.000505,0.000505,0.000505
52,992.929,1.17165,1.5746,0.00813,0.63289,0.57631,0.61699,0.43981,1.09669,1.54594,0.00999,0.0004951,0.0004951,0.0004951
53,1011.8,1.16436,1.56637,0.00809,0.67361,0.57026,0.62014,0.44081,1.10137,1.52764,0.0101,0.0004852,0.0004852,0.0004852
54,1030.79,1.16123,1.55721,0.00814,0.63268,0.57354,0.61636,0.43808,1.09711,1.5356,0.01007,0.0004753,0.0004753,0.0004753
55,1049.73,1.16284,1.5308,0.00804,0.64335,0.57281,0.62163,0.44335,1.09908,1.52482,0.01009,0.0004654,0.0004654,0.0004654
56,1068.59,1.15789,1.51247,0.00811,0.67936,0.55179,0.62085,0.43763,1.10027,1.51273,0.01015,0.0004555,0.0004555,0.0004555
57,1087.53,1.16271,1.50441,0.00796,0.64258,0.58053,0.62515,0.44523,1.097,1.50008,0.0101,0.0004456,0.0004456,0.0004456
58,1106.45,1.16012,1.49175,0.00795,0.64301,0.59369,0.62385,0.43745,1.09992,1.49537,0.01014,0.0004357,0.0004357,0.0004357
59,1125.45,1.15704,1.47576,0.00796,0.66425,0.58083,0.63027,0.44251,1.10246,1.48198,0.01017,0.0004258,0.0004258,0.0004258
60,1144.33,1.14686,1.46004,0.00795,0.65041,0.59658,0.63186,0.44349,1.09389,1.47762,0.01004,0.0004159,0.0004159,0.0004159
61,1163.13,1.16431,1.46873,0.00816,0.66345,0.59803,0.63238,0.44347,1.09908,1.47209,0.01005,0.000406,0.000406,0.000406
62,1181.99,1.16041,1.45605,0.00803,0.65595,0.59586,0.63074,0.44252,1.10051,1.47223,0.0101,0.0003961,0.0003961,0.0003961
63,1200.83,1.16171,1.4431,0.00808,0.67888,0.57496,0.63208,0.4467,1.0973,1.4688,0.01005,0.0003862,0.0003862,0.0003862
64,1219.82,1.16139,1.45577,0.00794,0.67102,0.57111,0.63239,0.44465,1.09889,1.45912,0.01013,0.0003763,0.0003763,0.0003763
65,1238.69,1.15027,1.4259,0.00792,0.66347,0.57269,0.63297,0.44535,1.10173,1.45365,0.0101,0.0003664,0.0003664,0.0003664
66,1257.58,1.15974,1.44139,0.0079,0.63832,0.60185,0.63516,0.45144,1.09412,1.44524,0.01004,0.0003565,0.0003565,0.0003565
67,1276.42,1.15252,1.42296,0.00804,0.66711,0.58628,0.63414,0.44468,1.10218,1.44794,0.01013,0.0003466,0.0003466,0.0003466
68,1295.31,1.15082,1.40065,0.0079,0.64552,0.59224,0.63301,0.44862,1.09801,1.43978,0.01007,0.0003367,0.0003367,0.0003367
69,1314.37,1.1576,1.40903,0.00794,0.641,0.59377,0.63275,0.44799,1.09755,1.43103,0.01005,0.0003268,0.0003268,0.0003268
70,1333.21,1.16011,1.41171,0.00793,0.64422,0.614,0.63373,0.44801,1.09516,1.43725,0.01003,0.0003169,0.0003169,0.0003169
71,1352.1,1.15854,1.39168,0.0079,0.63744,0.61381,0.63804,0.452,1.09881,1.42085,0.01012,0.000307,0.000307,0.000307
72,1371.06,1.1556,1.38779,0.00777,0.64703,0.60224,0.63504,0.4469,1.10263,1.42195,0.01015,0.0002971,0.0002971,0.0002971
73,1390,1.15273,1.3751,0.00799,0.65057,0.61174,0.64229,0.45165,1.09709,1.42435,0.0101,0.0002872,0.0002872,0.0002872
74,1408.85,1.15623,1.38043,0.00805,0.63898,0.60821,0.63859,0.45024,1.10143,1.41625,0.01013,0.0002773,0.0002773,0.0002773
75,1427.77,1.15326,1.36027,0.00778,0.65043,0.61654,0.64205,0.45436,1.10178,1.40514,0.0101,0.0002674,0.0002674,0.0002674
76,1446.71,1.15512,1.366,0.00791,0.66003,0.6025,0.64291,0.45824,1.10118,1.41645,0.01005,0.0002575,0.0002575,0.0002575
77,1465.56,1.14277,1.34662,0.00792,0.66878,0.60979,0.64321,0.45514,1.09833,1.3999,0.01005,0.0002476,0.0002476,0.0002476
78,1484.49,1.15069,1.35815,0.00799,0.68198,0.60068,0.64702,0.45677,1.10097,1.39496,0.01007,0.0002377,0.0002377,0.0002377
79,1503.38,1.14528,1.35524,0.00786,0.65622,0.6135,0.64761,0.46001,1.10228,1.39548,0.01011,0.0002278,0.0002278,0.0002278
80,1522.31,1.16232,1.35567,0.00784,0.63657,0.62157,0.64758,0.4581,1.10679,1.38111,0.01024,0.0002179,0.0002179,0.0002179
