epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8992,1.25341,4.67118,0.00895,0.01087,0.23111,0.01764,0.01135,1.05802,4.46397,0.00952,0.000198601,0.000198601,0.0803385
2,47.1699,1.19102,4.43395,0.00835,0.02103,0.25934,0.03358,0.0234,1.04008,4.2375,0.00919,0.000397286,0.000397286,0.0605371
3,66.4714,1.19714,4.2247,0.0082,0.01732,0.3122,0.06187,0.04494,1.02753,3.95242,0.00902,0.000594651,0.000594651,0.0407345
4,85.6236,1.17969,3.94322,0.00823,0.74017,0.07446,0.10329,0.07254,1.03967,3.55146,0.00914,0.000790695,0.000790695,0.0209306
5,104.559,1.2051,3.50456,0.00839,0.59681,0.15603,0.15216,0.10431,1.09028,3.08885,0.00971,0.00098542,0.00098542,0.00112528
6,123.368,1.21976,3.12751,0.00854,0.63567,0.2109,0.18708,0.12746,1.09077,2.88295,0.00978,0.0009835,0.0009835,0.0009835
7,142.571,1.21643,2.96313,0.0085,0.64928,0.23338,0.21961,0.15311,1.08641,2.73252,0.00984,0.0009802,0.0009802,0.0009802
8,162.064,1.2143,2.847,0.0086,0.66351,0.24367,0.26518,0.18797,1.06989,2.62537,0.00963,0.0009769,0.0009769,0.0009769
9,181.801,1.20896,2.74667,0.00863,0.61448,0.29383,0.29727,0.2121,1.08367,2.53047,0.00984,0.0009736,0.0009736,0.0009736
10,201.395,1.20675,2.67149,0.00859,0.55868,0.3151,0.30997,0.22176,1.08907,2.47197,0.00994,0.0009703,0.0009703,0.0009703
11,220.914,1.20746,2.58618,0.00845,0.57579,0.32366,0.34903,0.25467,1.08038,2.39854,0.00985,0.000967,0.000967,0.000967
12,240.362,1.20123,2.53536,0.00857,0.56557,0.35236,0.35818,0.25821,1.07454,2.34067,0.00983,0.0009637,0.0009637,0.0009637
13,259.833,1.19677,2.45699,0.00842,0.56005,0.3588,0.37409,0.27052,1.09102,2.28166,0.00996,0.0009604,0.0009604,0.0009604
